date,company,advisor_name,username,post_text,likes,retweets,comments,label
2024-03-22,ICICI Bank,Michele Kelly,patrickbarber,Into choice choose magazine student example project during word prepare worker region focus next school great.,4262,113,921,0
2024-07-22,Infosys,Darlene Robertson,carriegarrison,About magazine teach picture send little song physical figure nothing short go.,2953,1935,665,1
2025-03-13,Tata Motors,Christopher Warner,orivera,Story scene difficult forward everybody radio full.,4345,1656,284,0
2025-01-06,Wipro,Joshua Lopez,mcross,While wrong hour total get test design pick father do grow responsibility know reason.,1150,206,531,0
2024-10-23,Infosys,Sean Callahan,shannon98,Quality direction building production weight billion everyone thing find mission news fight major onto to service.,572,398,936,0
2025-08-12,ICICI Bank,Ann Olsen,martinezstephen,Office thank able cell five course always business church also.,3617,1453,484,0
2025-09-10,Adani Ports,Alejandra Hinton,williamsjeffrey,Wish speech table sound environmental once first.,4823,778,351,0
2023-10-04,Wipro,Amanda Espinoza,woodmatthew,Protect power writer way able same rock option democratic daughter performance record career drop customer chair.,2017,261,776,0
2025-03-27,ICICI Bank,Alexandra Roberts,mullinsderek,Service learn begin effect explain pressure court son project matter.,3304,367,227,1
2024-07-02,HDFC Bank,Charles Campbell,tracy68,Congress stay often quality control space available measure include report result fight could left contain wear.,4118,495,555,0
2025-02-08,ICICI Bank,William Owens,swest,Knowledge both card star society hundred story school effort.,302,1704,975,0
2024-10-08,Wipro,John Choi,natalie36,Practice result population present rest and probably trouble where too road agreement best player.,5,493,83,1
2023-12-14,HDFC Bank,Patricia Williams,crodriguez,Some pick all imagine manage power would single party own ask though during candidate already.,3909,239,260,1
2025-08-31,Bharti Airtel,Bryan Abbott MD,moorealison,International church toward member company marriage least turn stage.,3521,1222,812,0
2023-09-22,Wipro,Michael Smith,cassandracampos,On perhaps civil way Mrs court open.,3190,795,708,0
2025-08-05,Infosys,David Cruz,matthewhughes,Establish newspaper so family onto since consumer future night police know word use western who deep.,1651,1299,947,0
2025-08-21,Adani Ports,Laura Smith,gloverronald,Federal true remain play yard suggest believe.,552,796,43,0
2023-12-20,Bharti Airtel,Brent Lloyd,lopezjoshua,Story development until black what end treat college which security receive improve.,4109,1333,752,0
2025-02-06,Infosys,Frederick Sexton,ujackson,About doctor deal decide compare field agreement enter.,3658,1410,290,0
2024-04-05,Tata Motors,Catherine Solomon,ocox,Beautiful must military the reach far how against talk floor build all resource.,229,1611,262,0
2023-10-13,Wipro,Renee Moore,huffedward,This idea fill long effort provide other west age actually.,1143,1017,619,0
2025-05-23,HDFC Bank,Melissa Reyes,eric47,Majority wait themselves new personal present call nearly fact research hot social customer end part woman.,1666,125,482,0
2025-03-08,Infosys,Julie Harris,elizabethharris,Significant outside eight offer resource store yeah simply.,1485,1030,692,1
2024-08-07,Bharti Airtel,Haley Hardy,john07,Claim focus enough test painting million measure society foreign per goal agree run eight marriage since.,3065,362,346,0
2025-03-24,Reliance,Kimberly Day,cookelizabeth,Marriage home upon keep contain toward crime third improve.,2826,501,922,0
2024-10-31,ICICI Bank,Amanda Diaz,jessicapeterson,Third different billion side main investment third life black main gas industry last teacher support two.,2779,1407,896,0
2023-12-05,Adani Ports,Andrew Bates,miguel13,Job child country current character as girl word.,1091,1395,767,0
2023-10-03,ICICI Bank,Christopher Hernandez,jamestodd,Across none because operation training population forward nice buy character course suffer then school minute.,4172,795,933,0
2025-06-23,Tata Motors,Elizabeth Cruz,scott68,Face occur case heavy material commercial necessary which beat than nice community.,1943,1202,726,0
2025-02-13,Reliance,Alex Mccullough,joannagarcia,Rest foreign toward store risk visit maintain industry allow either various city music everything I identify.,148,467,941,0
2024-03-03,Wipro,Meghan Gonzalez,kbarron,Arrive understand your second pass common past fund.,2384,1142,836,0
2024-08-22,Wipro,Aaron Rosales,arnoldraymond,Civil save personal budget operation must charge end.,16,1476,504,0
2025-06-08,HDFC Bank,Nicole Jones,gregoryramos,Anyone cold stock partner ground successful happen class far feel ability.,1956,1580,994,0
2024-03-17,Bharti Airtel,Julia Walker,michael41,Statement sea determine into worker management someone police ever particularly agency save word.,3753,1994,594,0
2024-01-20,Adani Ports,Eric Sampson,brownjennifer,Glass traditional traditional fish fill party its anyone total believe.,3940,829,87,0
2023-10-08,HDFC Bank,Dr. Kristin Haley,tporter,Door morning our probably music guess who before whole cut.,3556,1401,778,0
2024-11-23,Infosys,Nicholas Miles,larry21,Cultural human mention campaign sit trial ready increase policy perhaps himself prepare the central official.,2036,739,873,1
2024-11-21,Wipro,Isaac Harmon,timothywalker,Billion color marriage three imagine main fire film city piece seek new yes people billion foot.,2788,638,357,1
2025-09-04,Tata Motors,Douglas Andrade,brandon22,Dark recent receive once last north newspaper source man.,3358,58,695,0
2024-07-20,HDFC Bank,Paul Carter,trandavid,Serve kitchen type manager bank suggest soldier participant product perhaps heavy.,3991,273,694,0
2025-01-08,Bharti Airtel,Cassandra Thomas,ylopez,Season paper goal space run employee action financial behavior significant bill list clear.,2549,794,360,0
2024-01-26,Bharti Airtel,Lisa Pham,hodgesrobert,Time yes minute think rise at particularly.,1753,1211,881,0
2024-09-11,Adani Ports,Melanie Elliott,william73,Beautiful friend sense here trial summer despite generation give various structure realize discussion.,3378,1348,59,0
2025-01-29,HDFC Bank,Derek Morris,aalexander,Loss fire perhaps middle buy might those than.,2288,368,528,0
2025-03-13,Wipro,Brian Davis,matthew53,Message idea worry party off truth adult process which I increase parent financial.,3666,1014,368,0
2023-12-22,Tata Motors,Michael Torres,guzmanmargaret,According former during every require any resource move power party detail rise myself son.,2248,601,949,0
2023-11-01,Infosys,Daniel Franklin,marthahunt,Light piece government better use country model student road practice talk strong probably worker focus half.,3975,1674,588,0
2024-05-06,Adani Ports,James Mercer,mark53,Everyone single environmental almost night produce analysis especially.,3412,1650,42,0
2024-08-29,ICICI Bank,Ashley Zimmerman,ugreene,Remember seat specific writer enter officer PM realize discuss hospital seat theory animal.,2569,859,725,0
2024-07-19,Infosys,James Holloway,hillscott,Success kid read month arm industry culture discover door imagine form before.,4299,1008,60,0
2024-08-27,Infosys,Joseph Trujillo,morriseric,Sport treatment leave project believe laugh main raise.,1375,508,275,1
2025-04-03,ICICI Bank,Michael Morgan,matthew09,Positive still skin natural west west field.,2324,1550,956,1
2025-01-13,Wipro,Joshua Cruz,buckjoshua,Skill control shoulder movement young enter test perhaps hair particularly.,3783,70,407,0
2025-03-22,Wipro,Ashley Owen,deaton,Well develop picture group next instead pull else among true side possible peace agree would down.,2170,1007,448,0
2023-12-06,Infosys,Tanya Hodges,davidchan,She huge very forward claim candidate defense nothing site difficult seat guy cold seven.,4315,1253,535,0
2023-10-09,Infosys,Wendy Martin,hritter,Strong guy place be risk story final table site not explain choose hair discussion teach out.,1246,1646,321,1
2025-05-31,Tata Motors,Sonia Walker,pjohnson,Get course movement include series big threat what be full next produce place bag.,4317,501,261,0
2025-07-22,Reliance,Mark Thomas,griffinjeffrey,Few live any ability project without good others short positive fly sing whole together successful.,4983,1895,508,1
2024-08-21,Infosys,Joseph Thomas,ejordan,Great another particular before if voice there let position require.,1275,690,654,0
2025-06-13,Reliance,Michael Turner,joseph59,Speech fight ground feel one check key industry deal interview sure performance deep appear those because.,3646,357,613,0
2024-07-25,Bharti Airtel,Daniel Boone,duanejones,Cultural instead one once owner key experience miss program.,3364,1251,979,0
2024-02-15,Tata Motors,Caroline Gonzales,jgray,Thank there road feel share throw personal individual also will white social.,2297,741,328,0
2025-08-21,Adani Ports,Devin Elliott,joshua75,General suggest visit century until day detail possible knowledge win investment information money bag key writer.,1845,121,910,0
2025-06-17,Infosys,Amy Farrell,stephaniesimmons,Color we wife care key wear outside house beyond example month amount.,3401,120,742,0
2024-08-19,HDFC Bank,Shawn Wu,erodriguez,Against collection oil risk some book budget first friend special he me school trial.,3771,1786,86,0
2024-04-07,ICICI Bank,Carol Cruz,mark07,Price no each would firm experience report lot drug value marriage fight most meet.,2806,1414,269,0
2024-01-31,Bharti Airtel,Danielle Williams,heatherrobinson,Author every military lose head them yourself century authority change agree form quality.,3009,1913,597,0
2024-04-09,Adani Ports,Andrea Davidson,jesushoward,Heavy central side learn whatever my perhaps court late spring soldier speak nice live.,4336,198,27,0
2023-09-23,HDFC Bank,Tony Lewis,philipsanchez,Give itself statement share bad suddenly executive light.,1839,374,920,0
2024-09-07,Adani Ports,Candice Pollard,josephallen,Point Republican question pattern good impact according difficult close determine life people increase.,2876,316,87,0
2024-03-16,HDFC Bank,John Andrews,griffinlinda,Analysis business successful class so task husband around throw red to middle result.,2535,758,842,1
2023-12-09,Reliance,Matthew Smith,alexanderdanielle,Industry phone federal give mother after return term quality street stop score color hour again.,737,1456,744,0
2024-01-31,Reliance,Craig Garcia,brandongonzalez,Reflect black tend plan by us size despite discover identify letter act per mention.,975,9,779,1
2025-01-21,ICICI Bank,Robert Mcdonald,uwatson,Goal everyone suddenly middle me up hospital college that growth marriage response drop bar finish.,1877,1199,129,1
2024-06-07,Tata Motors,Amber Wells,smartinez,Director relationship value hear economy pretty health where college Democrat realize tend perform he.,834,992,225,1
2023-09-15,Tata Motors,Maureen Miller,jessicapacheco,Street forward college police consider of cell situation.,171,850,698,0
2024-05-14,Reliance,Ryan Alvarez,zhorton,Organization strong would glass thought candidate manager however ahead help.,426,909,38,0
2024-02-08,Infosys,Jennifer Hodges,david03,Pressure public part wear beautiful such than.,4204,220,560,0
2025-08-12,ICICI Bank,Justin Pineda,tony57,Card probably set mother green back sort use within.,4531,25,208,0
2024-02-05,Wipro,Bradley Gillespie,icarter,Cultural bill hand author service save modern anything network anyone station threat what.,1859,461,403,1
2025-01-16,ICICI Bank,Mark Beck,saranichols,Enough leave rule attorney doctor employee phone.,1496,1377,579,0
2025-02-19,Wipro,Jason Reeves,richardpatterson,Can item as minute may large sure full save final look work glass heart ahead single.,394,1631,403,0
2024-07-14,ICICI Bank,Mariah Bell,john06,Factor difference buy write job board voice your people.,352,1912,538,1
2025-06-06,Bharti Airtel,Karen Le,fullerdarius,Government ahead court likely protect state its like whole scene computer challenge easy.,4283,1147,478,0
2024-09-27,Infosys,Colleen Crane,jordan19,Administration wear dream policy though show college seven act write throw see.,3854,774,124,0
2023-09-17,Tata Motors,Timothy Hall,adamsmichael,Attack letter call wear anyone city else beautiful meeting positive generation model from check.,2271,708,398,0
2025-07-22,Bharti Airtel,Katie Larsen,kathryn20,Peace five crime suddenly lot which system fund produce court player store speak maybe and put.,297,1940,39,0
2024-07-10,Infosys,Nathan Burns,ktorres,Oil rich thank TV become wide large adult heavy significant forward new example standard he.,1842,936,461,0
2025-04-26,Wipro,Jose Jordan,michellesanchez,Place college black spend part talk activity move change through world little thousand machine.,208,1255,999,1
2023-11-15,Reliance,Carl Martin,mariasantana,Up soldier so really deep but new maintain under election.,612,1775,293,0
2025-05-03,ICICI Bank,Caleb Murphy,ashley59,Shoulder natural word mean just possible store law agent easy head degree.,4838,140,846,0
2025-07-13,Wipro,Alvin Paul Jr.,marksdale,Late speech necessary area capital look far over report.,4150,1208,80,0
2023-11-02,Wipro,Katie Carter,hhughes,Plan national help well tough tend ago finish.,4490,826,885,0
2025-02-08,Infosys,Dawn Kent,vadams,Weight should imagine worker listen employee series note build international.,49,201,983,0
2025-02-06,Adani Ports,Amanda Hampton,allen20,Fact trial out agreement my medical spring benefit none movement traditional art discuss.,2871,522,448,0
2025-01-17,Adani Ports,Ashley Gibson,josephmiller,Or ok do center detail trial use list senior business manage professor bring later building.,1014,1809,899,0
2024-03-04,Reliance,Mikayla Castillo,colleen90,Season arrive enter watch international evening military risk election.,315,475,218,0
2023-11-29,ICICI Bank,Benjamin Carr,boydbarry,Tv answer according job develop every owner authority cover open rather.,1141,1433,818,0
2025-05-21,Wipro,Allison Campos,allenashley,Tax however consumer single his of hope child provide life color record most beyond record because.,3140,114,823,0
2024-03-03,Tata Motors,Dustin Jones,rpierce,Herself ever perhaps difficult certain generation century word capital sometimes majority.,555,47,535,0
2024-04-21,Tata Motors,Melissa Duffy,jacqueline16,Family blue than official join fact standard simple various light Mrs nature whatever nearly.,1032,281,207,0
2025-04-17,Adani Ports,Christopher Orozco,josephporter,Defense capital worker class career vote fast together.,2479,1311,360,1
2023-11-30,Adani Ports,Frank Choi,carolynmartinez,Race them song story offer across western view yet with soldier seat.,1219,1698,514,0
2025-03-14,Adani Ports,Rhonda Garcia,michael10,Despite carry stage thank event throughout interest friend stage positive itself machine see learn happen defense.,1031,1277,982,0
2023-11-02,Wipro,Clarence Barker,gregory94,Recently save page lose enough light social issue black house prevent rule send.,2649,1853,505,0
2025-06-30,HDFC Bank,Thomas Booker,vporter,Total wear home this sign present bag performance section television yourself.,4526,1030,588,0
2025-07-17,HDFC Bank,Tracy Alvarez,michellerivera,Shake hit population pick exactly factor wife fly feel reason American test both read offer second.,3390,184,706,0
2024-01-18,ICICI Bank,Steven Patton,brandon79,Opportunity inside reveal subject section any support until campaign read.,20,1444,580,0
2025-01-21,HDFC Bank,Dawn Montoya,millerashley,Foot common choice concern open discuss suffer box.,3030,1167,475,0
2025-07-28,Wipro,Gloria Edwards,alexandrawilliams,Up soldier one ready choose make almost side nice baby.,306,1946,94,0
2023-09-30,Infosys,Brenda Edwards,robertarnold,Military risk grow understand wear page test window another public trouble effort side before network.,1509,1345,867,0
2024-03-10,Adani Ports,Diamond Simon,amcdonald,Class company add movement next some from matter her practice mention whether relate her really.,1728,784,694,0
2024-08-25,ICICI Bank,Stacy Young,morganzachary,Training southern college price make professional end morning action collection tax page difficult.,4186,1017,516,0
2024-06-28,Adani Ports,Shirley Henson,martinezmichael,Let budget dinner book firm account long us throw throughout region can whom much represent.,2800,868,336,1
2024-10-20,Infosys,Christopher Donaldson,lauriemartinez,Kid player cause best grow much use boy let serious lawyer.,1439,1882,472,0
2024-08-16,ICICI Bank,Christopher Robles,morriserica,Policy on hair bank south travel plant against federal suffer sense stand.,2727,1056,392,1
2024-10-17,Adani Ports,Taylor Dalton,bakerdylan,Respond him happen visit value understand camera teacher.,1271,1170,346,0
2025-01-17,Wipro,Michelle James,rjones,Catch audience same appear matter brother born wide health.,3111,1568,495,0
2023-11-01,Bharti Airtel,Laura Bailey,thomasjason,Kitchen bring high interest light next culture rule win between safe.,4807,467,962,0
2024-11-26,Adani Ports,Jacob Ramirez,carolyn51,Southern billion others charge material dog rate some somebody speech yourself of fact send thought.,1215,318,436,1
2024-12-13,HDFC Bank,Dennis Wall,kennethanderson,Trouble forget teacher bad American spend mouth.,3185,1118,251,0
2025-06-24,Reliance,David Rangel,iowen,Contain although evidence discussion very apply security design financial policy any involve PM.,1433,654,23,0
2024-03-16,Infosys,Marie Mason,chaddiaz,Stage read degree push debate street family six true.,4334,756,313,0
2025-08-21,Adani Ports,Bryan Johnson,murphybarbara,Reality enough seek century style accept upon democratic difference practice hotel.,80,894,517,0
2024-08-22,Adani Ports,Nicole Krueger,dianasimmons,Several husband present place weight there ever wear bill very government hour.,3575,944,750,0
2025-07-02,Infosys,Kerry Obrien,joycesarah,Hour fly turn research religious by teacher game.,1769,140,887,0
2024-03-14,ICICI Bank,Arthur Torres,vlopez,Who truth all add reach measure or thing wonder tax laugh cultural.,4928,917,353,0
2025-03-05,HDFC Bank,Kenneth Newton,tmclean,Sell matter mouth majority art half recently purpose vote local college realize.,1709,1427,72,1
2024-12-15,Adani Ports,Robert Hurley,cooleychristopher,Figure data campaign take town news car site hotel.,75,1909,531,0
2023-11-02,Infosys,Anthony Barry,kstewart,Service book government hit over then society arm red.,435,1774,627,1
2024-02-05,ICICI Bank,Lauren Klein,johnthomas,Local watch down relationship spring left least age positive.,1478,1161,271,0
2024-04-30,Bharti Airtel,Elizabeth Grant,websterrobin,Artist their low especially admit also exist technology song goal short fact.,1361,1811,974,0
2024-12-08,Wipro,Brandon Thompson,madison96,Feeling high former free him stay care over plan smile.,772,1081,919,0
2024-02-16,ICICI Bank,Joseph Reynolds,courtney24,Space market describe oil company thing old.,3186,1456,821,0
2024-04-26,Reliance,Ann Gamble,yatesandrew,Growth plan interview foot sister happen plan approach action second sense.,4899,287,480,0
2023-10-02,Tata Motors,Sergio Adams,calvinbenson,Join quite try religious pay toward computer father back dinner.,1926,595,816,0
2023-11-03,Infosys,Anthony Turner,roachjoshua,Give that nearly hospital religious personal heart range.,1906,1240,43,1
2023-09-12,Reliance,Jill Hill,millerchristopher,Today strategy hold modern young try apply establish.,2421,230,117,0
2025-03-08,Wipro,Tina Herrera,ysheppard,Rise speech through perform authority pattern treat part method attention both.,4413,201,980,0
2023-12-14,Adani Ports,Steven Bush,laura08,That nearly hear special describe pass hotel throw together firm morning whole small specific me.,1399,14,882,0
2024-05-20,Adani Ports,Christopher Williams,larsonbethany,Several manager some decade view list drop process talk fact chance four determine rich debate hair.,1898,105,677,0
2024-07-24,Infosys,Yesenia Morris,anthony87,Store threat information collection service here agreement once process nor develop industry history Mrs short.,4182,1941,646,0
2023-11-17,ICICI Bank,Laura Mckenzie,jeromethompson,Explain performance explain accept determine no rule day price lose though line.,3747,273,863,0
2024-04-02,Tata Motors,Amber Adams,jared84,Office try whatever guess challenge small rich boy enter effect manager believe traditional treat.,3376,1812,300,1
2025-02-18,Bharti Airtel,Dustin Knox,danielle54,Between discover account somebody career true improve defense really stand.,3721,1783,268,0
2023-12-12,Infosys,Sean Fletcher,jesparza,Car chance you sit research make before effort ball threat particular behavior meeting participant almost unit.,1794,1089,106,0
2024-11-27,Infosys,Jeffrey Tyler,katherine03,Lay can ahead five military because dream open late significant inside despite.,3123,1011,523,1
2025-05-07,ICICI Bank,Amber Ellis,vanessamills,Support employee worry fund we difference management.,4538,1731,562,0
2023-11-26,ICICI Bank,Dr. Thomas Weber,xjohnson,Consumer human billion trip reduce become under provide gas defense argue minute ask put lead matter.,2181,1495,261,0
2024-07-22,Wipro,Dana Todd,hoodmelanie,Kid kind with threat add look stuff memory provide ask carry.,3469,287,943,0
2023-11-08,Bharti Airtel,Brian Jones,jonathandavis,Improve past true reduce machine process wonder manage federal technology serve boy person.,3302,1005,620,0
2025-01-10,HDFC Bank,Danielle Cunningham,jacob17,Girl cut science effort even story science build care at lot still.,614,1831,664,0
2024-02-12,Tata Motors,Tyler Contreras III,amanda86,Machine budget accept truth economic amount resource.,3561,910,414,0
2025-06-15,Adani Ports,Richard Jones,morrisstephanie,Name window during sense practice wish support cost expect camera dog with hard.,3197,1120,167,1
2025-05-11,Infosys,Adam Paul,orobinson,Make scene their his democratic challenge economy wind skin view lead rich expect green.,4238,235,815,0
2023-12-10,ICICI Bank,Thomas Bailey,cynthiasutton,Know arrive about central stuff me education network single.,3130,1860,488,0
2024-12-20,Reliance,Sara Young,kimberly46,Leader thing purpose whole art hit American.,2033,198,8,0
2025-03-31,ICICI Bank,Jack Taylor,ahoward,Inside difficult better lose point should spend fund interview can require president thing type first.,2578,1446,937,0
2023-10-03,Adani Ports,Sharon Watkins,steven09,Represent go from civil tend treat collection TV control treat.,2864,320,167,0
2025-08-08,Bharti Airtel,Maria Cherry,benjamin39,Standard throughout material fact heavy garden candidate property Mr produce read west deep beat alone agreement.,3763,809,349,0
2025-09-09,Tata Motors,Laura Martinez,areese,Culture few though various do product job leg truth against would middle partner.,699,1822,497,1
2025-01-09,ICICI Bank,Christine Harvey,vday,Month want amount want fish soldier law.,4465,1135,440,0
2025-04-06,Bharti Airtel,Laura Hughes,xmartin,Parent instead describe myself prove past space order.,2607,1625,352,0
2024-03-31,ICICI Bank,Renee Campbell,paul33,Instead appear century enter serve start use yes but value so lose four popular candidate management.,2413,1801,324,0
2023-11-24,Wipro,Matthew Nunez,mathewbrown,Space I realize property sell consider itself like site.,4561,255,118,0
